"iter","env2_sgd_2500-3000 - train/z_loss","env2_sgd_2500-3000 - train/z_loss__MIN","env2_sgd_2500-3000 - train/z_loss__MAX","env2_sgd_2500-3000 - _step","env2_sgd_2500-3000 - _step__MIN","env2_sgd_2500-3000 - _step__MAX","env2_lion_shock_2500-3000 - train/z_loss","env2_lion_shock_2500-3000 - train/z_loss__MIN","env2_lion_shock_2500-3000 - train/z_loss__MAX","env2_lion_shock_2500-3000 - _step","env2_lion_shock_2500-3000 - _step__MIN","env2_lion_shock_2500-3000 - _step__MAX","env2_muon_shock_2500-3000 - train/z_loss","env2_muon_shock_2500-3000 - train/z_loss__MIN","env2_muon_shock_2500-3000 - train/z_loss__MAX","env2_muon_shock_2500-3000 - _step","env2_muon_shock_2500-3000 - _step__MIN","env2_muon_shock_2500-3000 - _step__MAX","env2_adamw_shock_2500-3000 - train/z_loss","env2_adamw_shock_2500-3000 - train/z_loss__MIN","env2_adamw_shock_2500-3000 - train/z_loss__MAX","env2_adamw_shock_2500-3000 - _step","env2_adamw_shock_2500-3000 - _step__MIN","env2_adamw_shock_2500-3000 - _step__MAX"
"2500","0.9099229574203491","0.9099229574203491","0.9099229574203491","59","59","59","1.2246728390455246","1.2246728390455246","1.2246728390455246","59","59","59","2.225810468196869","2.225810468196869","2.225810468196869","59","59","59","1.1968115866184235","1.1968115866184235","1.1968115866184235","59","59","59"
"2505","0.8036050349473953","0.8036050349473953","0.8036050349473953","60","60","60","1.0194615721702576","1.0194615721702576","1.0194615721702576","60","60","60","3.7810189723968506","3.7810189723968506","3.7810189723968506","60","60","60","2.717309057712555","2.717309057712555","2.717309057712555","60","60","60"
"2510","1.0548302829265594","1.0548302829265594","1.0548302829265594","61","61","61","1.5258115231990814","1.5258115231990814","1.5258115231990814","61","61","61","2.6964290738105774","2.6964290738105774","2.6964290738105774","61","61","61","1.6893326044082642","1.6893326044082642","1.6893326044082642","61","61","61"
"2515","1.1041649878025055","1.1041649878025055","1.1041649878025055","62","62","62","1.3866874277591705","1.3866874277591705","1.3866874277591705","62","62","62","2.305707812309265","2.305707812309265","2.305707812309265","62","62","62","2.102699398994446","2.102699398994446","2.102699398994446","62","62","62"
"2520","1.4808006286621094","1.4808006286621094","1.4808006286621094","63","63","63","1.6819113492965698","1.6819113492965698","1.6819113492965698","63","63","63","2.1994314789772034","2.1994314789772034","2.1994314789772034","63","63","63","1.4453885853290558","1.4453885853290558","1.4453885853290558","63","63","63"
"2525","1.8805343806743622","1.8805343806743622","1.8805343806743622","64","64","64","1.5133036971092224","1.5133036971092224","1.5133036971092224","64","64","64","1.7272042632102966","1.7272042632102966","1.7272042632102966","64","64","64","1.1791986227035522","1.1791986227035522","1.1791986227035522","64","64","64"
"2530","1.6554204821586609","1.6554204821586609","1.6554204821586609","65","65","65","1.6681320071220398","1.6681320071220398","1.6681320071220398","65","65","65","1.4816812872886658","1.4816812872886658","1.4816812872886658","65","65","65","1.0159765183925629","1.0159765183925629","1.0159765183925629","65","65","65"
"2535","1.8742604851722717","1.8742604851722717","1.8742604851722717","66","66","66","1.4197221994400024","1.4197221994400024","1.4197221994400024","66","66","66","1.294165164232254","1.294165164232254","1.294165164232254","66","66","66","0.9113350659608841","0.9113350659608841","0.9113350659608841","66","66","66"
"2540","1.5831929743289948","1.5831929743289948","1.5831929743289948","67","67","67","1.1333951354026794","1.1333951354026794","1.1333951354026794","67","67","67","1.2821086645126343","1.2821086645126343","1.2821086645126343","67","67","67","0.8446313887834549","0.8446313887834549","0.8446313887834549","67","67","67"
"2545","1.2747126817703247","1.2747126817703247","1.2747126817703247","68","68","68","1.224313497543335","1.224313497543335","1.224313497543335","68","68","68","1.2567299008369446","1.2567299008369446","1.2567299008369446","68","68","68","0.7387601733207703","0.7387601733207703","0.7387601733207703","68","68","68"
